34.7886,27.162,8.1196,0,0.016434,0.040806,0.000137285,0.000594,0.0002592,0.000126,0.0150732,0.001134,0.000000432,0.000021402,0.0017874
13.2373,11.8189,6.2988,66.0798,0.0571237,0.0320034,9.70068E-05,0.0019878,0.0001379,0.0004846,0.001101,0.0001035,3.834E-07,4.78236E-05,0.00448
16.902,13.1079,3.7002,13.5896,0.0323984,0.0308616,5.87649E-05,0.0012792,0.0001358,0.000072,0.0064307,0.0006055,2.396E-07,2.06297E-05,0.0017069
9.1281,5.0588,1.3933,22.0527,0.0114504,0.0220557,6.8105E-06,0.0010013,0.0001131,0.0000659,0.0022287,0.0005045,1.4754E-06,1.81187E-05,0.0032254
5.4767,2.3146,0.7548,10.4247,0.0086513,0.0155858,2.62818E-05,0.0003243,0.0000506,0.0000958,0.0011446,0.0003328,1.258E-07,0.00002253,0.0012671
13.1678,9.6446,2.8905,4.0454,0.0072553,0.0182664,4.86216E-05,0.0002384,0.0001056,0.0000538,0.0054636,0.00051,0.000000153,1.27846E-05,0.001296
22.516,11.8071,4.0382,19.9142,0.2198337,0.0750798,2.00093E-05,0.003923,0.0004264,0.0001788,0.0029522,0.000463,4.048E-07,5.85438E-05,0.0013556
17.0518,8.7124,2.8284,9.5895,0.2022765,0.0487116,8.84625E-05,0.0044361,0.0001494,0.0003014,0.0004003,0.0000832,4.313E-07,7.99405E-05,0.0011611
0.2042,0.1892,0.0895,0.0598,0.0011906,0.0004995,1.3908E-06,0.0000209,0.0000013,0.0000025,0.0000363,0.0000046,2.53E-08,5.338E-07,0.0001583
0.7906,3.0056,0.5257,3.253,0.0020788,0.0035818,6.72253E-05,0.0013891,0.0000068,0.0000136,0.0002042,0.0000705,6.32E-08,0.000003435,0.0039842
5.8272,20.9325,14.0863,40.9086,0.0240091,0.0130402,0.000196153,0.0011636,0.0000549,0.0001487,0.0002995,0.0000533,2.212E-07,2.48389E-05,0.0014666
9.9928,33.3614,22.7867,71.0758,0.0246668,0.0241482,0.000295217,0.0018274,0.0001007,0.0001619,0.0006925,0.0000812,1.578E-07,0.000040382,0.0034898
7.2742,4.467,1.5238,3.4339,0.0246967,0.0129204,8.22465E-05,0.0009026,0.0000487,0.0003239,0.0010793,0.0001176,0.000000461,4.87631E-05,0.0004133
18.1751,15.6896,7.8189,13.3365,0.1223277,0.0364358,0.00111351,0.0022931,0.0001395,0.0008094,0.0034403,0.0003759,1.0637E-06,0.000115742,0.0177925
3.5512,2.6904,1.0836,1.744,0.0246173,0.0042158,4.67541E-05,0.0004691,0.0000289,0.0001467,0.0000613,0.0000333,3.014E-07,1.67876E-05,0.0002006
